Date,Group,Stadium,City,Team Home,Team Away,Team Scores
"14 Jun 2018 - 18:00
      Local time",Group A,Luzhniki Stadium,Moscow,Russia,Saudi Arabia,5-0
"15 Jun 2018 - 17:00
      Local time",Group A,Ekaterinburg Arena,Ekaterinburg,Egypt,Uruguay,0-1
"15 Jun 2018 - 18:00
      Local time",Group B,Saint Petersburg Stadium,St. Petersburg,Morocco,IR Iran,0-1
"15 Jun 2018 - 21:00
      Local time",Group B,Fisht Stadium,Sochi,Portugal,Spain,3-3
"16 Jun 2018 - 13:00
      Local time",Group C,Kazan Arena,Kazan,France,Australia,2-1
"16 Jun 2018 - 16:00
      Local time",Group D,Spartak Stadium,Moscow,Argentina,Iceland,1-1
"16 Jun 2018 - 19:00
      Local time",Group C,Mordovia Arena,Saransk,Peru,Denmark,0-1
"16 Jun 2018 - 21:00
      Local time",Group D,Kaliningrad Stadium,Kaliningrad,Croatia,Nigeria,2-0
"17 Jun 2018 - 16:00
      Local time",Group E,Samara Arena,Samara,Costa Rica,Serbia,0-1
"17 Jun 2018 - 18:00
      Local time",Group F,Luzhniki Stadium,Moscow,Germany,Mexico,0-1
"17 Jun 2018 - 21:00
      Local time",Group E,Rostov Arena,Rostov-On-Don,Brazil,Switzerland,1-1
"18 Jun 2018 - 15:00
      Local time",Group F,Nizhny Novgorod Stadium,Nizhny Novgorod,Sweden,Korea Republic,1-0
"18 Jun 2018 - 18:00
      Local time",Group G,Fisht Stadium,Sochi,Belgium,Panama,3-0
"18 Jun 2018 - 21:00
      Local time",Group G,Volgograd Arena,Volgograd,Tunisia,England,1-2
"19 Jun 2018 - 15:00
      Local time",Group H,Mordovia Arena,Saransk,Colombia,Japan,1-2
"19 Jun 2018 - 18:00
      Local time",Group H,Spartak Stadium,Moscow,Poland,Senegal,1-2
"19 Jun 2018 - 21:00
      Local time",Group A,Saint Petersburg Stadium,St. Petersburg,Russia,Egypt,3-1
"20 Jun 2018 - 15:00
      Local time",Group B,Luzhniki Stadium,Moscow,Portugal,Morocco,1-0
"20 Jun 2018 - 18:00
      Local time",Group A,Rostov Arena,Rostov-On-Don,Uruguay,Saudi Arabia,1-0
"20 Jun 2018 - 21:00
      Local time",Group B,Kazan Arena,Kazan,IR Iran,Spain,0-1
"21 Jun 2018 - 16:00
      Local time",Group C,Samara Arena,Samara,Denmark,Australia,1-1
"21 Jun 2018 - 20:00
      Local time",Group C,Ekaterinburg Arena,Ekaterinburg,France,Peru,1-0
"21 Jun 2018 - 21:00
      Local time",Group D,Nizhny Novgorod Stadium,Nizhny Novgorod,Argentina,Croatia,0-3
"22 Jun 2018 - 15:00
      Local time",Group E,Saint Petersburg Stadium,St. Petersburg,Brazil,Costa Rica,2-0
"22 Jun 2018 - 18:00
      Local time",Group D,Volgograd Arena,Volgograd,Nigeria,Iceland,2-0
"22 Jun 2018 - 21:00
      Local time",Group E,Kaliningrad Stadium,Kaliningrad,Serbia,Switzerland,1-2
"23 Jun 2018 - 15:00
      Local time",Group G,Spartak Stadium,Moscow,Belgium,Tunisia,5-2
"23 Jun 2018 - 18:00
      Local time",Group F,Rostov Arena,Rostov-On-Don,Korea Republic,Mexico,1-2
"23 Jun 2018 - 21:00
      Local time",Group F,Fisht Stadium,Sochi,Germany,Sweden,2-1
"24 Jun 2018 - 15:00
      Local time",Group G,Nizhny Novgorod Stadium,Nizhny Novgorod,England,Panama,6-1
"24 Jun 2018 - 18:00
      Local time",Group H,Ekaterinburg Arena,Ekaterinburg,Japan,Senegal,2-2
"24 Jun 2018 - 21:00
      Local time",Group H,Kazan Arena,Kazan,Poland,Colombia,0-3
"25 Jun 2018 - 17:00
      Local time",Group A,Samara Arena,Samara,Uruguay,Russia,3-0
"25 Jun 2018 - 17:00
      Local time",Group A,Volgograd Arena,Volgograd,Saudi Arabia,Egypt,2-1
"25 Jun 2018 - 21:00
      Local time",Group B,Kaliningrad Stadium,Kaliningrad,Spain,Morocco,2-2
"25 Jun 2018 - 21:00
      Local time",Group B,Mordovia Arena,Saransk,IR Iran,Portugal,1-1
"26 Jun 2018 - 17:00
      Local time",Group C,Fisht Stadium,Sochi,Australia,Peru,0-2
"26 Jun 2018 - 17:00
      Local time",Group C,Luzhniki Stadium,Moscow,Denmark,France,0-0
"26 Jun 2018 - 21:00
      Local time",Group D,Saint Petersburg Stadium,St. Petersburg,Nigeria,Argentina,1-2
"26 Jun 2018 - 21:00
      Local time",Group D,Rostov Arena,Rostov-On-Don,Iceland,Croatia,1-2
"27 Jun 2018 - 17:00
      Local time",Group F,Kazan Arena,Kazan,Korea Republic,Germany,2-0
"27 Jun 2018 - 17:00
      Local time",Group F,Ekaterinburg Arena,Ekaterinburg,Mexico,Sweden,0-3
"27 Jun 2018 - 21:00
      Local time",Group E,Spartak Stadium,Moscow,Serbia,Brazil,0-2
"27 Jun 2018 - 21:00
      Local time",Group E,Nizhny Novgorod Stadium,Nizhny Novgorod,Switzerland,Costa Rica,2-2
"28 Jun 2018 - 17:00
      Local time",Group H,Volgograd Arena,Volgograd,Japan,Poland,0-1
"28 Jun 2018 - 17:00
      Local time",Group H,Samara Arena,Samara,Senegal,Colombia,0-1
"28 Jun 2018 - 21:00
      Local time",Group G,Mordovia Arena,Saransk,Panama,Tunisia,1-2
"28 Jun 2018 - 21:00
      Local time",Group G,Kaliningrad Stadium,Kaliningrad,England,Belgium,0-1
